x,y,z
4.63,4.93,4.26
3.87,5.03,3.76
4.88,5.21,4.44
4.09,4.03,3.57
8.6,6.58,5.99
5.65,6.14,5.98
6.81,7.62,6.84
5.94,6.21,5.46
7.06,6.92,6.23
6.78,5.71,6.48
8.23,7.77,7.44
6.72,5.81,5.66
6.19,6.06,5.4
5.35,5.57,4.68
5.42,4.86,5.06
5.07,4.81,4.69
5.8,11.67,5.23
4.63,4.74,4.1
4.77,4.39,4.48
7.82,7.87,7.09
6.13,7.01,5.7
5.11,4.845,4.58
4.3,21.87,4.23
3.82,30.24,3.78
3.5,8.5,3.38
1.39,18.74,1.29
1.01,10.92,1.04
3.22,9.97,2.04
1.85,3.41,2.2
4.41,5.98,4.38
3.96,3.71,3.77
3.94,3.46,3.71
2.88,3.11,2.62
2.52,2.37,2.34
2.62,2.46,2.48
2.46,2.11,2.3
2.91,2.78,2.75
2.42,2.4,2.38
2.63,2.19,2.43
2.85,4.35,2.65
2.9,6.9,2.7
2.62,2.42,2.5
2.98,3.16,2.78
2.78,34.82,2.58
2.54,18.85,2.39
2.48,2.59,2.28
1.78,2.73,1.68
1.73,1.47,1.65
2.04,2,1.82
2.55,3.83,2.35
2.88,3.14,2.74
1.97,1.82,1.92
2.85,1.57,2.06
1.61,1.35,1.4
1.59,1.69,1.54
1.93,1.79,1.93
4.38,4.05,4.49
5.06,5.2,4.83
3.99,3.55,3.77
3.79,3.37,3.72
3.67,3.69,3.62
3.65,3.57,3.45
3.55,3.37,3.42
3.9,3.47,3.76
4.12,6.21,4.02
5.31,5.39,5.33
5.27,5.79,4.79
4.41,4.93,4.17
4.04,4.275,4.51
4.45,4.37,4.92
1.53,1.3,1.58
1.39,1.18,1.52
2.4,1.91,2.03
5.57,4.96,1.68
5.08,2.66,2.38
4.14,3.82,7.1
4.13,3.44,3.45
3.44,3.07,3.3
3.35,5.88,3.34
2.63,2.96,2.71
3.91,3.65,3.52
4.04,3.4,3.49
4.16,4.04,3.94
4.08,4.03,3.93
4.1,4,4.06
4.3,4.2,4.35
4.5,4.19,4.33
4.66,4.04,4.67
5.11,5.47,5.1
5.91,9.95,5.91
5.58,8.99,5.36
6.05,9.48,5.72
6.75,15.59,6.26
4.45,3.54,4.25
3.31,2.94,3.01
3.97,3.71,3.43
2.95,2.51,2.78
4.32,5.06,4.24
6.51,6.31,5.13
6.25,21.06,12.22
3.68,3.35,5.63
3.28,3.31,3.31
3.27,3.5,3.06
4.74,5.51,4.51
4.89,5.39,4.24
4.02,3.98,3.94
3.53,3.69,3.41
4.79,4.58,4.8
5.94,5.33,5.93
5.6,5.14,5.81
5.61,5.58,5.79
5.76,5.92,5.93
5.87,14.8,6.37
5.23,5.47,5.15
6.45,6.33,6.15
6.11,5.87,5.49
6.53,6.16,6.32
4.53,4.38,4.2
3.38,3.18,3.31
3.93,3.84,3.68
4.47,4,3.73
3.57,3.28,3.03
4.48,3.1,3.81
6.23,4.82,6.08
5.37,4.95,4.36
5.22,5.42,4.4
5.94,6.69,5.57
5.6,6.13,5.42
5.08,5.86,4.7
3.91,3.79,3.67
3.31,3.47,3.07
3.71,3.59,3.55
4.13,3.72,3.9
4.56,3.93,4.44
5.45,4.67,5.53
6.38,6.6,6.35
5.82,5.8,5.47
6.38,6.7,6.11
5.87,5.92,5.62
5.34,4.93,4.86
4.71,4.27,4.29
4.78,4.95,4.27
6.17,4.65,5.1
4.39,4.67,4.31
4.11,3.81,3.72
4.43,3.89,4
5.24,4.64,5.03
5.22,6.91,8.11
4.58,4.54,6.9
3.29,3.43,3.13
2.67,2.89,2.61
2.99,3.15,3.08
3.48,3.63,3.54
4.04,4.1,4.12
4.6,4.77,4.71
4.49,4.68,4.44
4.64,4.7,4.7
5.44,5.24,5.34
5.73,6.24,5.58
6.12,6.37,6.05
6.23,6.14,6.05
6.62,6.83,6.53
8.08,7.89,7.59
10.39,9.87,9.73
8.19,8.14,7.17
6.23,5.99,5.92
6.89,6.61,6.63
6.72,6.48,6.49
7.39,7.3,6.92
8.1,7.71,7.72
7.97,6.78,7.87
10.25,10.61,8.9
13.26,12.18,11.76
9.85,11.51,9.35
6.16,9.53,5.98
1.65,1.53,1.38
1.84,1.85,1.65
2.74,4.09,1.89
2.28,2.74,2.17
2.3,2.42,2.21
2.5,2.42,2.42
2.32,2.4,2.24
2.1,2.14,2.03
2.09,2.2,1.99
1.99,2.11,2.29
2.77,2.2,2.5
4.44,3.81,4.28
5.17,5.55,4.59
8.64,9,8.52
6.38,4.75,6.2
4.09,3.82,3.73
4.15,4.52,4.45
5.69,4.74,6.64
9.12,7.24,11
6.23,6.52,5.94
8.35,8.55,8.15
6.275,6.43,6.12
6.91,6.31,7.51
6.225,6.19,6.26
8.345,8.53,8.16
9.64,9.72,9.56
10.085,9.61,10.56
10.86,10.91,10.81
10.68,10.75,10.61
10.52,10.55,10.49
9.82,10.02,9.62
9.225,9.36,9.09
9.59,9.07,10.11
7.655,8.15,7.16
7.0925,7.505,6.68
6.85,6.86,6.84
7.33,7.31,7.35
7.585,7.51,7.66
6.57,6.51,6.63
6.655,6.65,6.66
7.47,7.43,7.51
7.33,8.43,6.23
8.935,8.13,9.74
14.825,7.83,21.82
5.865,5.95,5.78
5.43,4.92,5.94
8.66,7.94,9.38
8.69,9.28,8.1
9.58,9.96,9.2
8.755,8.99,8.52
7.885,8.31,7.46
7.16,8.03,6.29
7.87,7.75,7.99
7.83,7.59,8.07
7.33,7.43,7.23
7.205,7.23,7.18
7.51,7.42,7.6
9.51,9.9,9.12
7.5,7.5,7.5
6.93,6.79,7.07
8.385,8.24,8.53
9.135,9.35,8.92
10.55,10.58,10.52
10.215,10.34,10.09
9.395,9.28,9.51
9.925,9.92,9.93
10.74,10.71,10.77
10.665,10.99,10.34
12.165,12.51,11.82
6.36,6.2,6.52
8.455,8.65,8.26
9.26,9.11,9.41
10.085,10.36,9.81
12.235,12.37,12.1
12.075,12,12.15
11.165,11.34,10.99
10.91,11.02,10.8
10.38,10.66,10.1
11.1,11.33,10.87
11.05,11.22,10.88
10.48,10.76,10.2
11.27,11.02,11.52
8.97,9.26,8.68
9.63,9.73,9.53
12.37,12.92,11.82
14.165,13.98,14.35
13.54,13.22,13.86
12.5175,12.715,12.32
12.245,12.21,12.28
11.485,11.51,11.46
11.49,11.7,11.28
12.71,12.77,12.32
13.16,13.55,13.1
13.88,14.77,14.07
14.99,17.38,15.97
15.8,16.87,14.29
9.3,9.67,9.08
10.29,11.23,10.19
11.62,12.32,11.44
11.18,11.53,10.85
11.06,11.42,11.11
11.04,11.42,11.16
10.79,10.91,11.31
10.6,10.56,10.91
9.39,10.28,9.66
7.21,7.2,6.95
6.69,6.75,7.02
7.17,6.75,6.87
8.72,7.99,8.05
8.79,8.38,8.27
8.19,7.97,7.7
7.51,7.32,7.2
8.58,8.24,8.16
11.54,10.85,10.85
11.99,11.39,11.44
12.68,13.41,14.16
17.03,15.79,17.73
16.95,17.15,16.68
13.83,15.61,13.91
11.69,11.88,11.16
11.78,12.24,11.34
11.49,11.95,11.48
11.3,11.41,11.1
10.54,10.59,10.34
9.67,9.73,9.42
9.63,9.55,9.36
9.45,9.7,9.21
10.35,9.61,9.68
9.67,10.41,9.31
10.74,10.98,10.24
11.45,10.48,10.59
11.03,10.08,9.93
12.27,11.46,11.3
9.52,9.16,8.98
8.16,7.94,7.91
8.19,7.92,7.73
8.01,7.9,7.61
8.44,8.37,8.25
9.93,9.71,9.44
11.42,10.15,10.37
6.61,6.15,5.99
3.71,3.47,3.09
3.59,3.29,3.76
4.28,4.2,4
4.72,4.85,4.63
4.73,5.57,4.71
6.87,7.19,7.03
9.1,9.57,8.77
11.63,11.99,11.22
12.26,12.46,11.68
12.99,12.77,12.06
13.12,12.97,12.51
13.44,13.77,13.04
13.08,12.5,12.18
10.34,9.02,9.09
11.32,10.94,10.94
11.87,11.44,11.18
13.44,12.4,12.03
14.66,14.36,13.45
11.15,10.87,10.02
11.31,11.27,10.57
11.31,11.5,11.17
14.06,13.04,13.75
14.91,14.6,22.55
18.02,18.28,17.54
22.17,20.44,23.88
19.8,20.7,19.91
22.01,20.55,21.4
19.57,20.02,17.34
17.44,17.73,16.91
